id,variant,language,question,expected_source,expected_recommendations,top_k,status,found,best_rank,relevant_in_top_k,precision_at_k,top_score,top_chunk_id,top_page
8,1,ar,إيه علاج سرطان القولون اللي انتشر للكبد؟,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,PASS,yes,4,1,0.2,0.8111,ng151-p15-c5,15
8,2,ar,لو المريض عنده ورم ثانوي في الكبد الخيارات إيه؟,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,FAIL,no,,0,0.0,0.8043,ng151-p11-c1,11
8,1,en,What is the treatment for colorectal cancer that has spread to the liver?,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,PASS,yes,1,2,0.4,0.8761,ng151-p24-c2,24
8,2,en,"If a patient has a secondary liver tumour, what are the options?",Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,PASS,yes,4,1,0.2,0.8706,ng151-p24-c3,24
9,1,ar,إزاي بيتابعوا المريض بعد جراحة سرطان القولون؟,Recommendation 1.6.1 - Page 26,1.6.1,5,FAIL,no,,0,0.0,0.8053,ng151-p25-c2,25
9,2,ar,إيه الفحوصات الدورية بعد العلاج الشافي؟,Recommendation 1.6.1 - Page 26,1.6.1,5,FAIL,no,,0,0.0,0.7779,ng151-p21-c1,21
9,1,en,How is a patient followed up after colorectal cancer surgery?,Recommendation 1.6.1 - Page 26,1.6.1,5,PASS,yes,1,1,0.2,0.8793,ng151-p26-c2,26
9,2,en,What routine tests happen after curative treatment?,Recommendation 1.6.1 - Page 26,1.6.1,5,PASS,yes,1,1,0.2,0.8424,ng151-p26-c2,26
10,1,ar,إيه هو LARS وإزاي بيتعالج؟,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,3,0.6,0.8195,ng151-p26-c4,26
10,2,ar,إيه المشاكل اللي بتحصل بعد جراحة حفظ العضلة العاصرة؟,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,FAIL,no,,0,0.0,0.7728,ng151-p11-c1,11
10,1,en,What is LARS and how is it treated?,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,3,0.6,0.8881,ng151-p26-c4,26
10,2,en,What problems occur after sphincter-preserving surgery?,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,1,0.2,0.8378,ng151-p26-c3,26
11,1,ar,إيه أعراض سرطان المعدة؟,NOT COVERED - expect refusal,,5,REVIEW_REFUSAL,,,,,0.7982,ng151-p26-c1,26
11,1,en,What are the symptoms of stomach cancer?,NOT COVERED - expect refusal,,5,REVIEW_REFUSAL,,,,,0.844,ng151-p8-c4,8
