id,variant,language,question,expected_source,expected_recommendations,top_k,status,found,best_rank,relevant_in_top_k,precision_at_k,average_precision_at_k,reciprocal_rank,top_score,top_chunk_id,top_page
6,1,en,How long is adjuvant chemotherapy after colon cancer surgery?,Recommendation 1.3.18 - Page 17,1.3.18,5,PASS,yes,4,1,0.2,0.25,0.25,0.8882,ng151-p16-c1,16
6,2,en,"Is 3 months of chemotherapy enough, or is 6 months required?",Recommendation 1.3.18 - Page 17,1.3.18,5,PASS,yes,3,1,0.2,0.3333,0.3333,0.8739,ng151-p16-c1,16
7,1,ar,إيه التحاليل الجينية المطلوبة لمرضى سرطان القولون المنتشر؟,Recommendation 1.4.1 - Page 18,1.4.1,5,FAIL,no,,0,0.0,0.0,0,0.8208,ng151-p17-c2,17
7,2,ar,هل لازم اختبار RAS وBRAF قبل العلاج الموجه؟,Recommendation 1.4.1 - Page 18,1.4.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8291,ng151-p18-c2,18
7,1,en,What genetic tests are needed for metastatic colorectal cancer patients?,Recommendation 1.4.1 - Page 18,1.4.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8654,ng151-p18-c2,18
7,2,en,Is RAS and BRAF testing required before targeted therapy?,Recommendation 1.4.1 - Page 18,1.4.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8659,ng151-p18-c2,18
8,1,ar,إيه علاج سرطان القولون اللي انتشر للكبد؟,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,FAIL,no,,0,0.0,0.0,0,0.8095,ng151-p15-c5,15
8,2,ar,لو المريض عنده ورم ثانوي في الكبد الخيارات إيه؟,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,FAIL,no,,0,0.0,0.0,0,0.8034,ng151-p10-12-c2-part2,10-12
8,1,en,What is the treatment for colorectal cancer that has spread to the liver?,Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,PASS,yes,1,2,0.4,0.4167,1.0,0.8756,ng151-p24-c2,24
8,2,en,"If a patient has a secondary liver tumour, what are the options?",Recommendations 1.5.14-1.5.17 - Page 23,1.5.14;1.5.15;1.5.16;1.5.17,5,PASS,yes,3,1,0.2,0.0833,0.3333,0.8637,ng151-p24-c3,24
9,1,ar,إزاي بيتابعوا المريض بعد جراحة سرطان القولون؟,Recommendation 1.6.1 - Page 26,1.6.1,5,FAIL,no,,0,0.0,0.0,0,0.8043,ng151-p9-c1,9
9,2,ar,إيه الفحوصات الدورية بعد العلاج الشافي؟,Recommendation 1.6.1 - Page 26,1.6.1,5,PASS,yes,5,1,0.2,0.2,0.2,0.7778,ng151-p26-c5,26
9,1,en,How is a patient followed up after colorectal cancer surgery?,Recommendation 1.6.1 - Page 26,1.6.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8714,ng151-p26-c2,26
9,2,en,What routine tests happen after curative treatment?,Recommendation 1.6.1 - Page 26,1.6.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.829,ng151-p26-c2,26
10,1,ar,إيه هو LARS وإزاي بيتعالج؟,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,3,0.6,1.0,1.0,0.8198,ng151-p26-c4,26
10,2,ar,إيه المشاكل اللي بتحصل بعد جراحة حفظ العضلة العاصرة؟,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,FAIL,no,,0,0.0,0.0,0,0.7709,ng151-p10-12-c2-part2,10-12
10,1,en,What is LARS and how is it treated?,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,3,0.6,1.0,1.0,0.8868,ng151-p26-c4,26
10,2,en,What problems occur after sphincter-preserving surgery?,Recommendations 1.6.2-1.6.4 - Page 26,1.6.2;1.6.3;1.6.4,5,PASS,yes,1,1,0.2,0.3333,1.0,0.8367,ng151-p26-c3,26
11,1,ar,إيه أعراض سرطان المعدة؟,NOT COVERED - expect refusal,,5,REVIEW_REFUSAL,,,,,,,0.7996,ng151-p8-c4,8
11,1,en,What are the symptoms of stomach cancer?,NOT COVERED - expect refusal,,5,REVIEW_REFUSAL,,,,,,,0.8487,ng151-p8-c4,8
12,1,ar,أنا مشخص بسرطان القولون والمستقيم ما المعلومات التي يجب أن يشرحها لي فريق الرعاية؟,Recommendation 1.2.1 - Page 7,1.2.1,5,PASS,yes,4,1,0.2,0.25,0.25,0.8319,ng151-p9-c1,9
12,2,ar,ما خيارات العلاج وفوائده ومخاطره التي يجب أن أعرفها قبل العلاج؟,Recommendation 1.2.1 - Page 7,1.2.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.7996,ng151-p7-c3,7
12,1,en,What information should the care team explain to a person with colorectal cancer?,Recommendation 1.2.1 - Page 7,1.2.1,5,FAIL,no,,0,0.0,0.0,0,0.8668,ng151-p8-c3,8
12,2,en,What treatment options benefits and risks should be explained before colorectal cancer treatment?,Recommendation 1.2.1 - Page 7,1.2.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8862,ng151-p7-c3,7
13,1,ar,ما النصائح التي يجب إعطاؤها للمريض قبل الخروج من المستشفى بعد علاج سرطان القولون والمستقيم؟,Recommendation 1.2.7 - Page 9,1.2.7,5,PASS,yes,1,1,0.2,1.0,1.0,0.8473,ng151-p9-c1,9
13,2,ar,كيف يستعد المريض للخروج بعد علاج سرطان القولون والمستقيم؟,Recommendation 1.2.7 - Page 9,1.2.7,5,PASS,yes,1,1,0.2,1.0,1.0,0.8245,ng151-p9-c1,9
13,1,en,What advice should be given before discharge after colorectal cancer treatment?,Recommendation 1.2.7 - Page 9,1.2.7,5,PASS,yes,1,1,0.2,1.0,1.0,0.9086,ng151-p9-c1,9
13,2,en,How should a person prepare for discharge after colorectal cancer treatment?,Recommendation 1.2.7 - Page 9,1.2.7,5,PASS,yes,1,1,0.2,1.0,1.0,0.9105,ng151-p9-c1,9
14,1,ar,ما الإجراء المناسب لانسداد الأمعاء الغليظة في الجهة اليسرى عندما يكون العلاج تلطيفياً؟,Recommendation 1.3.1 - Page 9,1.3.1,5,PASS,yes,2,1,0.2,0.5,0.5,0.8055,ng151-p9-c3,9
14,2,ar,هل يمكن استخدام دعامة في الانسداد الحاد للقولون قبل العلاج التلطيفي؟,Recommendation 1.3.1 - Page 9,1.3.1,5,FAIL,no,,0,0.0,0.0,0,0.7883,ng151-p21-c2,21
14,1,en,What is recommended for acute left-sided large bowel obstruction when treatment is palliative?,Recommendation 1.3.1 - Page 9,1.3.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.9004,ng151-p9-c2,9
14,2,en,Can a stent be used for acute left-sided bowel obstruction with palliative intent?,Recommendation 1.3.1 - Page 9,1.3.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.9209,ng151-p9-c2,9
15,1,ar,متى يمكن التفكير في الجراحة الروبوتية لسرطان المستقيم؟,Recommendation 1.3.10 - Page 14,1.3.10,5,PASS,yes,3,1,0.2,0.3333,0.3333,0.8059,ng151-p10-12-c2-part2,10-12
15,2,ar,هل الجراحة الروبوتية موصى بها لكل مرضى سرطان المستقيم؟,Recommendation 1.3.10 - Page 14,1.3.10,5,PASS,yes,1,1,0.2,1.0,1.0,0.7938,ng151-p14-c4,14
15,1,en,When can robotic surgery be considered for rectal cancer?,Recommendation 1.3.10 - Page 14,1.3.10,5,PASS,yes,1,1,0.2,1.0,1.0,0.8779,ng151-p14-c4,14
15,2,en,Is robotic surgery recommended for every person with rectal cancer?,Recommendation 1.3.10 - Page 14,1.3.10,5,PASS,yes,1,1,0.2,1.0,1.0,0.8967,ng151-p14-c4,14
16,1,ar,متى يتم التفكير في العلاج المضاد للسرطان قبل العملية لمريض سرطان القولون؟,Recommendation 1.3.16 - Page 16,1.3.16,5,FAIL,no,,0,0.0,0.0,0,0.8253,ng151-p19-c3,19
16,2,ar,هل العلاج الجهازي قبل الجراحة مناسب لسرطان القولون cT4؟,Recommendation 1.3.16 - Page 16,1.3.16,5,PASS,yes,1,1,0.2,1.0,1.0,0.8476,ng151-p16-c2,16
16,1,en,When should preoperative systemic anticancer therapy be considered for colon cancer?,Recommendation 1.3.16 - Page 16,1.3.16,5,PASS,yes,1,1,0.2,1.0,1.0,0.8884,ng151-p16-c2,16
16,2,en,Is preoperative systemic therapy considered for cT4 colon cancer?,Recommendation 1.3.16 - Page 16,1.3.16,5,PASS,yes,1,1,0.2,1.0,1.0,0.9141,ng151-p16-c2,16
17,1,ar,كيف يتم تقييم أعراض متلازمة LARS بعد جراحة سرطان المستقيم؟,Recommendation 1.6.3 - Page 26,1.6.3,5,PASS,yes,1,1,0.2,1.0,1.0,0.8586,ng151-p26-c4,26
17,2,ar,هل توجد استبيانات معتمدة لتقييم متلازمة الاستئصال الأمامي المنخفض؟,Recommendation 1.6.3 - Page 26,1.6.3,5,PASS,yes,1,1,0.2,1.0,1.0,0.7892,ng151-p26-c4,26
17,1,en,How should LARS symptoms be assessed after rectal cancer surgery?,Recommendation 1.6.3 - Page 26,1.6.3,5,PASS,yes,2,1,0.2,0.5,0.5,0.9096,ng151-p26-c3,26
17,2,en,Are validated questionnaires used to assess low anterior resection syndrome?,Recommendation 1.6.3 - Page 26,1.6.3,5,PASS,yes,1,1,0.2,1.0,1.0,0.8745,ng151-p26-c4,26
